dict_name	en
华南地区	South China
单一来源	Single Source
卫生和社会工作	Health and Social Work
响应式	Responsive
商贸流通	Commerce and Circulation
四级	Level 4
团队	Team
固定	Fixed
固定值替换	Fixed Value Replacement
国	Country
国标	National Standard
国际组织	International Organization
图片	Image
在平台使用中遇到困难	Difficulty Using the Platform
地方标准	Local Standard
大屏	Visualization Screen
天	Day
字典导航	Dictionary Navigation
季度	Quarter
安保领域	Security Field
安全保密员	Security Officer
安全审计员	Security Auditor
安全问题	Security Issue
安防	Security Protection
实时	Real-time
审核中	Under Review
客户端应用	Client Application
密码模式	Password Mode
就业领域	Employment Field
居民服务、修理和其他服务业	Resident Services, Repair and Other Services
岗位类别	Position Category
工作流命名规范	Workflow Naming Convention
已下架	Delisted
已办	Done
已发布	Published
已完结	Completed
已驳回	Rejected
市	City
平台活动	Platform Activity
年	Year
年度	Yearly
库表	Database Table
应急管理	Emergency Management
应用管理	Application Management
应用类型	Application Type
应用领域	Application Domain
建筑业	Construction
开头	Beginning
开放平台类型	Open Platform Type
待办	Todo
待提交	Pending Submission
待支付	Pending Payment
待收货	Pending Delivery
房地产业	Real Estate
所属领域	Belonging Field
批发和零售业	Wholesale and Retail
技术岗	Technical Position
技术系	Technology Department
按时间	By Time
按次	By Count
授权码模式	Authorization Code Mode
授权获得(授权关系证明材料)	Obtained by Authorization
接口	API
提供方组织机构代码	Provider Organization Code
政务部门	Government Department
政务领域	Government Field
政府需求	Government Demand
政策文件	Policy Document
政策法规	Policies and Regulations
政策解读	Policy Interpretation
政策资讯栏目	Policy News Column
教育	Education
教育领域	Education Field
数据API	Data API
数据产品供给平台	Data Product Supply Platform
数据产品经营平台	Data Product Business Platform
数据价值单位	Data Value Unit
数据值	Data Value
数据关联性	Data Correlation
数据包	Data Package
数据单次查询量控制	Single Query Volume Control
数据域	Data Domain
数据工具	Data Tool
数据库表	Database Table
数据应用	Data Application
数据形态代码	Data Format Code
数据报告	Data Report
数据提供方式	Data Provision Method
数据提供方统一社会信用代码	Provider Unified Social Credit Code
数据服务	Data Service
数据格式	Data Format
数据源类型	Data Source Type
数据等级	Data Level
数据类型	Data Type
数据类型代码	Data Type Code
数据编目	Data Cataloging
数据获取方式	Data Acquisition Method
数据规范类别	Data Specification Category
数据读取频率	Data Read Frequency
数据资源	Data Resource
数据集	Dataset
文件	File
文件分类	File Category
文化、体育和娱乐业	Culture, Sports and Entertainment
文化旅游	Culture and Tourism
无	None
时长单位	Duration Unit
普通用户	Regular User
智慧农业	Smart Agriculture
智慧医疗	Smart Healthcare
智慧城市	Smart City
智能制造	Smart Manufacturing
智能服务	Intelligent Service
暂时不需要	Not Needed Temporarily
暗色	Dark
更新周期	Update Cycle
更新频率	Update Frequency
替换位置	Replacement Position
替换字符	Replacement Character
月	Month
月度	Monthly
有效期	Validity Period
机构	Organization
来源类型	Source Type
标准型接入连接器	Standard Access Connector
标准类型	Standard Type
标识构成	Identifier Composition
标识码类型	Identifier Type
模糊化	Obfuscation
次/周	Times per Week
次/天	Times per Day
次/季度	Times per Quarter
次/年	Times per Year
次/月	Times per Month
次/每天	Times per Day
每KB	Per KB
每MB	Per MB
每个	Each
每周	Weekly
每天	Daily
每季度	Quarterly
每年	Yearly
每日时间区间内使用控制	Daily Time-window Usage Control
每月	Monthly
每条	Per Record
每次	Per Call
气象服务	Meteorological Service
水利、环境和公共设施管理业	Water Conservancy, Environment and Public Facilities
水务领域	Water Affairs Field
永久	Permanent
注册用户	Registered User
活动专区类型	Campaign Zone Type
生活领域	Livelihood Field
用户可见任何人	Visible to Anyone
用户可见本公司任何人	Visible to Anyone in the Company
用户可见本部门任何人	Visible to Anyone in the Department
用户同步	User Synchronization
用户注销原因	User Deregistration Reason
用户目录	User Directory
用户范围	User Scope
电力、热力、燃气及水生产及供应商	Electricity, Heat, Gas and Water Production and Supply
电子商务	E-commerce
疫情领域	Epidemic Field
省级	Provincial Level
社保领域	Social Security Field
科学研究和技术服务业	Scientific Research and Technical Services
科技创新	Technological Innovation
租户类型	Tenant Type
租赁和商务服务业	Leasing and Business Services
空间角色	Space Roles
竞争性磋商	Competitive Consultation
竞争性谈判	Competitive Negotiation
第一类型	Type 1
第二类型	Type 2
策略配置	Policy Configuration
筛选条件	Filter Condition
管理岗	Management Position
管理系	Management Department
系统用户	System User
系统管理员	System Administrator
经营平台	Business Platform
经营平台产品类型	Business Platform Product Type
结尾	Ending
维度值	Dimension Value
绿色低碳	Green and Low-carbon
职务序列	Job Sequence
职务级别	Job Level
职务职级	Job Rank
能源领域	Energy Field
脚本命名规范	Script Naming Convention
脱敏方式	Masking Method
自主采购	Self Procurement
自定义	Custom
行业	Industry
行业类别	Industry Category
行政区划	Administrative Division
行标	Industry Standard
表命名规范	Table Naming Convention
规格	Specification
规模	Scale
规范类别	Specification Category
视频	Video
角色类型	Role Type
订单状态	Order Status
认证授权	Authentication and Authorization
认证授权模式	Auth Grant Type
证件类型	Certificate Type
询价	Inquiry
请求方式	Request Method
账号类型	Account Type
资源广场	Resource Marketplace
资源形态	Resource Form
资源需求	Resource Demand
身份证	ID Card
连接器	Connector
连接器接入方式	Connector Access Mode
连接器类型	Connector Type
逻辑空间	Logical Space
邀请招标	Invited Bidding
部门	Department
部门类型	Department Type
采矿业	Mining
采购方式	Procurement Method
采购类型	Procurement Type
采集获得(采集说明)	Obtained by Collection
金融业	Finance Industry
金融服务	Financial Services
金融领域	Finance Field
钉钉	DingTalk
销售系	Sales Department
随机填充	Random Padding
隐式模式	Implicit Mode
隐私计算	Privacy Computing
需求发布	Demand Publishing
需求类型	Demand Type
静态图	Static Image
非公开招标	Non-open Tendering
非公益类项目	Non-public Welfare Project
非政府需求	Non-government Demand
非永久	Non-permanent
面议	Negotiable
项目周期	Project Cycle
项目来源	Project Source
项目类型	Project Type
领域	Field
高级	Senior
高速数据网	High-speed Data Network
